"subplot_code"	"yearcol"	"mass.Mg.ha"	"vol.m3.ha"	"input.mass.Mgha"	"input.vol.m3ha"	"type"
"01,21"	2017	3.72938108699269	15.8229035120558	3.72938108699269	15.8229035120558	"downed"
"01,21"	2018	4.46850781332888	20.3209757178523	4.46850781332888	20.3209757178523	"downed"
"01,21"	2019	5.96235951077172	19.1817303660859	5.96235951077172	19.1817303660859	"downed"
"01,21"	2020	4.85915162195853	14.9277766566477	4.85915162195853	14.9277766566477	"downed"
"01,21"	2021	4.00873444376422	14.7923780212702	4.00873444376422	14.7923780212702	"downed"
"01,21"	2022	3.51258449571926	12.9615664048681	3.51258449571926	12.9615664048681	"downed"
"01,21"	2023	4.04542747395152	14.9277766566477	4.04542747395152	14.9277766566477	"downed"
"01,21"	2024	3.99045061607978	14.7249100224346	3.99045061607978	14.7249100224346	"downed"
"01,24"	2017	16.3982512393115	131.206289589229	16.3982512393115	131.206289589229	"downed"
"01,24"	2018	1.25287242403254	4.18602307289641	1.25287242403254	4.18602307289641	"downed"
"01,24"	2019	0.850019859737616	3.66439905904196	0.850019859737616	3.66439905904196	"downed"
"01,24"	2020	0	0	0	0	"downed"
"01,24"	2021	1.66171784317418	6.1318001593143	1.66171784317418	6.1318001593143	"downed"
"01,24"	2022	2.60380512449186	9.60813699074487	2.60380512449186	9.60813699074487	"downed"
"01,24"	2023	1.88062227611383	6.93956559451595	1.88062227611383	6.93956559451595	"downed"
"01,24"	2024	1.20359825671285	4.44132198049021	1.20359825671285	4.44132198049021	"downed"
"02,16"	2017	13.6118028823939	47.1233514884137	13.6118028823939	47.1233514884137	"downed"
"02,16"	2018	18.3434728907515	58.0372834051934	18.3434728907515	58.0372834051934	"downed"
"02,16"	2019	19.3834840581161	70.2796023893321	19.3834840581161	70.2796023893321	"downed"
"02,16"	2020	19.1216672840412	87.765842668109	19.1216672840412	87.765842668109	"downed"
"02,16"	2021	19.3375612415496	71.3563145444635	19.3375612415496	71.3563145444635	"downed"
"02,16"	2022	14.0913355484963	51.997548149433	14.0913355484963	51.997548149433	"downed"
"02,16"	2023	11.2346285194733	41.4561937987945	11.2346285194733	41.4561937987945	"downed"
"02,16"	2024	8.11983742675825	29.9624997297352	8.11983742675825	29.9624997297352	"downed"
"03,09"	2017	0	0	0	0	"downed"
"03,09"	2018	1.02736425886255	4.11446844098851	1.02736425886255	4.11446844098851	"downed"
"03,09"	2019	0.759898504954589	4.22203170770351	0.759898504954589	4.22203170770351	"downed"
