month	day	subplot_code	transect_section_letter	code_of_piece	diameter_width_prior	diameter_width.mm	penetration.200mm	penetration.200mm.1	branchfall	tag	notes	RT	RR	TT	TC	TS	TV	MC	MS	year	uniqid
2	15	05,24	G	5-1	133	133	NA	NA	1	NA	Solo el clavo, se descompuso	NA	NA	*	*	NA	NA	NA	*	2017	fallen046
1	24	06,06	A	NA	520	489	158	NA	1	no tag	es una muestra vieja. Revisar censo anterior	NA	NA	*	*	NA	NA	NA	*	2017	fallen047
1	24	06,06	D	4-1	395	379	29	NA	0	NA	S esta rajando	NA	*	NA	*	NA	NA	NA	*	2017	fallen048
1	24	06,06	H	7-1	NA	240	42	NA	1	7592	NA	NA	NA	*	NA	*	NA	*	NA	2017	fallen049
1	24	06,06	I	5-1	998	1056	21	NA	1	13123	esta hueco y se esta abriendo	NA	NA	*	NA	*	NA	NA	*	2017	fallen050
1	24	06,06	J	3-1	422	188	NA	NA	0	13123	el centro esta hueco	NA	*	NA	NA	*	NA	NA	*	2017	fallen051
1	24	06,06	P	6-1	260	195	NA	NA	0	no tag	tiene banda de metal. Es un PRI2CO	NA	*	NA	NA	NA	*	*	NA	2017	fallen052
1	24	06,09	N	9-1	76	NA	NA	NA	0	no tag	no se sabe de que arbol es la rama	NA	*	NA	NA	NA	NA	NA	*	2017	fallen053
1	24	06,09	C	6-1	779	810	192	NA	1	NA	Era el C 4-1 que estaba de pie	NA	NA	*	*	NA	NA	NA	*	2017	fallen054
1	24	06,09	D	6-1	502	507	61	NA	1	no tag	NA	NA	NA	*	*	NA	NA	NA	*	2017	fallen055
1	23	07,01	F	5-1	300	192	NA	NA	0	230141	NA	NA	*	NA	NA	NA	*	NA	*	2017	fallen056
1	23	07,01	G	6-1	287	288	92	NA	1	no tag	el mismo que J 6-1	NA	NA	*	*	NA	NA	NA	*	2017	fallen057
1	23	07,01	J	3-1	NA	NA	NA	NA	1	NA	se descompuso	NA	NA	*	*	NA	NA	*	NA	2017	fallen058
1	23	07,01	J	6-1	388	427	74	NA	1	no tag	El mismo que 6-1	NA	NA	*	*	NA	NA	*	NA	2017	fallen059
1	23	07,01	L	3-1	531	495	NA	10	1	No tag	NA	NA	NA	*	*	NA	NA	NA	*	2017	fallen060
1	23	07,01	O	9-2	445	351	102	NA	1	7307	NA	NA	NA	*	*	NA	NA	NA	*	2017	fallen061
1	23	07,01	K	7-1	NA	222	45	NA	NA	220032	NA	*	NA	NA	*	NA	NA	*	NA	2017	fallen062
1	23	07,01	K	7-2	NA	249	37	NA	NA	NA	no tag. Esta caido. Esta en 06,02 en el 3,2 > 300mm	*	NA	NA	*	NA	NA	*	NA	2017	fallen063
1	23	07,01	N	7-1	NA	359	42	NA	NA	220032	NA	NA	NA	*	*	NA	NA	*	NA	2017	fallen064
1	26	07,13	A	0-1	1031	1056	1023	16	1	no tag	el mismo arbol que P 9-1. Esta hueco en el centro	NA	NA	*	*	NA	NA	NA	*	2017	fallen065
1	26	07,13	J	9-1	391	390	11	NA	1	no tag	NA	NA	NA	*	*	NA	NA	NA	*	2017	fallen066
1	26	07,13	P	9-1	256	62	NA	NA	1	no tag	el mismo arbol que A 0-1. Esta aplastado. Solo quedan restos	NA	NA	*	*	NA	NA	NA	*	2017	fallen067
1	31	07,20	B	7-1	NA	235	74	NA	1	7183	NA	NA	NA	*	NA	*	NA	NA	*	2017	fallen068
1	24	08,06	G	9-2	141	NA	NA	NA	1	no tag	NA	NA	NA	*	*	NA	NA	NA	*	2017	fallen069
1	24	08,06	H	9-1	NA	NA	NA	NA	1	no tag	se descompuso solo se encontró clavo	NA	NA	NA	NA	NA	NA	NA	NA	2017	fallen070
1	24	08,06	J	6-1	213	NA	NA	NA	1	no tag	Nada	NA	NA	*	*	NA	NA	NA	*	2017	fallen071
1	24	08,06	K	4-1	204	192	NA	NA	0	NA	NA	*	NA	NA	*	NA	NA	NA	*	2017	fallen072
1	24	08,06	K	9-1	246	266	110	NA	1	no tag	NA	NA	NA	*	*	NA	NA	NA	*	2017	fallen073
1	24	08,06	L	4-1	358	359	NA	7	1	NA	NA	NA	NA	*	*	NA	NA	NA	*	2017	fallen074
1	24	08,06	P	9-1	250	211	34	NA	1	6948	NA	NA	NA	*	*	NA	NA	NA	*	2017	fallen075
1	26	09,12	C	9-1	266	265	20	NA	1	222154	NA	NA	NA	*	*	NA	NA	NA	*	2017	fallen076
1	26	9.12	C	7-1	NA	250	23	NA	1	222154	NA	NA	NA	*	*	NA	NA	NA	*	2017	fallen077
1	26	09,12	E	5-1	NA	405	NA	15	1	7059	NA	NA	NA	*	NA	*	NA	NA	*	2017	fallen078
1	26	09,12	E	7-1	NA	211	92	1	0	NA	No se pudo determinar de qué árbol es la muestra	NA	*	NA	NA	NA	NA	NA	*	2017	fallen079
1	26	09,12	G	9-1	893	841	73	NA	1	no tag	aplastado	NA	NA	*	*	NA	NA	NA	*	2017	fallen080
