month	day	subplot_code	transect_section_letter	code_of_piece	diameter_prior	diameter_one.mm	height	POM	branches	tag	notes_prior	notes	MC	MS	year	observer	irregular_diameter_prior	diameter_two.mm	uniqid
2	24	07,13	B	0-1	205	139	1.1	0.57	2	no tag	NA	Solo queda una parte delgada del tronco	NA	*	2021	E	127	32	standing054
3	10	07,13	I	20-1	612	612	8	3	2	No tag esta en 0613 entre 24 y 34 mide más de 600 mm	Escalera	escalera	NA	*	2021	E	609	619	standing055
2	24	07,13	J	21-1	NA	266	12.5	1.3	2	7401	NA	NA	*	NA	2021	E	NA	NA	standing056
2	26	07,20	O	21-1	NA	492	19.1	1.3	0	7177	NA	Fue impactado por rayo	*	NA	2021	V	NA	425	standing057
2	26	07,20	P	21-1	NA	486	26.6	1.3	0	228511	NA	Fue impactado por rayo	*	NA	2021	V	NA	412	standing058
2	26	07,20	P	21-1	NA	397	12.1	1.3	1	7185	NA	Fue impactado por rayo	*	NA	2021	V	NA	NA	standing059
2	24	08,06	M	3-1	526	NA	NA	0.5	2	7036	NA	Se descompuso solo algunos restos en el suelo	NA	*	2021	E	306	NA	standing060
2	24	08,06	M	21-1	NA	338	29.7	1.3	1	7029	NA	NA	*	NA	2021	E	NA	329	standing061
2	24	08,06	M	21-2	NA	785	2.8	1.3	2	7030	NA	NA	NA	*	2021	E	NA	763	standing062
2	24	09,12	C	3-1	NA	NA	NA	0.35	2	222154	caido	Solo restos en el suelo	NA	NA	2021	E	NA	NA	standing063
2	24	09,12	F	21-1	NA	202	14.5	1.3	2	808233	NA	NA	*	NA	2021	E	NA	NA	standing064
2	26	10,20	G	19-1	438	NA	NA	1.3	2	6850	NA	Se cayó	*	NA	2021	V	379	NA	standing065
2	26	10,20	H	4-1	361	340	12.1	1.3	2	6849	NA	NA	NA	*	2021	V	314	NA	standing066
3	2	11,15	D	7-1	150	NA	NA	0.55	2	212912	NA	Nada	NA	NA	2021	E	NA	NA	standing067
3	2	11,15	J	7-1	288	NA	NA	1.3	2	213119	NA	Caido	NA	*	2021	E	NA	NA	standing068
3	2	11,15	J	19-1	257	NA	NA	1.3	2	213096	NA	Caido	NA	*	2021	E	NA	NA	standing069
2	26	12,23	E	21-1	NA	297	11.6	1.3	2	6472	NA	NA	*	NA	2021	V	NA	NA	standing070
3	2	13,16	A	20-1	760	772	31.7	1.3	1	6163	NA	NA	*	NA	2021	E	NA	NA	standing071
3	2	13,16	G	19-1	378	NA	NA	1.3	2	6393	34.7 grados inclinacion	caido	*	NA	2021	E	277	NA	standing072
3	2	13,16	L	20-1	239	244	6.9	1.3	2	6154	NA	NA	*	NA	2021	E	NA	NA	standing073
3	2	14,11	E	9-1	319	352	0.63	0.37	2	No tag	NA	NA	NA	*	2021	E	246	199	standing074
3	2	14,14	K	21-1	NA	225	2	1.3	2	814223	NA	NA	*	NA	2021	E	NA	165	standing075
2	26	14,24	E	6-1	190	153	2	1.3	2	6105	NA	NA	NA	*	2021	V	108	NA	standing076
2	26	14,24	P	19-1	455	NA	NA	1.3	2	6081	NA	se cayo	NA	NA	2021	V	280	NA	standing077
3	2	15,07	B	8-1	346	NA	NA	0.2	2	no tag	NA	Solo el clavo. Se descompuso	*	NA	2021	E	319	NA	standing078
3	2	15,07	G	6-1	550	519	6.5	1.3	2	5960	NA	NA	NA	*	2021	E	451	444	standing079
3	2	15,07	K	2-1	145	136	0.73	0.49	2	415259	NA	NA	NA	NA	2021	E	NA	128	standing080
3	2	16,05	G	21-1	NA	207	7.4	1.3	2	515094	NA	NA	*	NA	2021	E	NA	172	standing081
3	2	16,05	L	6-1	NA	NA	NA	0.52	2	516063	NA	Nada	NA	NA	2021	E	NA	NA	standing082
3	2	16,05	O	5-1	NA	NA	NA	0.28	2	5637	NA	Nada	NA	NA	2021	E	NA	NA	standing083
3	2	16,12	C	2-1	473	407	0.95	0.7	2	no tag	NA	NA	NA	*	2021	E	210	217	standing084
3	2	17,01	I	0-1	737	483	0.4	0.3	2	NA	6 golpes con corteza	NA	NA	*	2021	E	NA	252	standing085
3	2	17,01	J	20-1	262	278	4.7	1.3	1	175172	Con  corteza	Correguir la posicion, esta es en K	NA	*	2021	E	260	242	standing086
