month	day	subplot_code	transect_section_letter	code_of_piece	diameter_prior	diameter_one.mm	height	POM	penetration.200mm	penetration.200mm.1	branches	tag	notes	year	observer	uniqid
2	2	13,16	I	7-1	NA	270	12.0	1.3	43	NA	1	NA	NA	2017	R	standing059
2	6	14,11	E	9-1	NA	356	1.00	0.52	119	NA	2	NA	Fue encontrado. Estaba debajo de lianas y ramas	2017	R	standing060
2	1	14,24	E	6-1	244	232	2.2	1.3	59	NA	2	6105	corteza. El tronco se quebró a la altura de la medida  pero no se a caido al suelo porque las lianas no lo dejan caer	2017	R	standing061
2	1	14,24	E	7-1	NA	328	18.5	1.3	33	NA	2	195473	corteza	2017	R	standing062
3	2	14,24	K	6-1	503	439	14	3.2	64	NA	2	6087	escalera. Sin ramas. Con corteza	2017	R	standing063
2	1	14,24	N	5-1	408	372	3.5	1.3	26	NA	2	194349	tag corregido. Sin corteza. Esta rajado	2017	R	standing064
2	6	15,07	G	6-1	620	603	8.1	1.3	60	NA	2	5960	Prioria. Corteza	2017	R	standing065
2	6	15,07	K	2-1	268	237	0.89	0.49	NA	5	2	415259	sin corteza. Correccion es K 2-1 y no N2-1	2017	R	standing066
2	6	16,05	L	6-1	254	295	1.5	0.52	173	NA	2	516063	Con cascara	2017	R	standing067
2	6	16,05	L	6-2	209	NA	NA	1.3	NA	NA	NA	516059	Caido	2017	R	standing068
2	6	16,05	O	5-1	850	563	2.00	1.3	NA	13	2	5637	sin ramas	2017	R	standing069
2	2	16,12	B	NA	629	352	2.1	1.3	NA	5	2	5669	es viejo. No hay cascara en el area donde se uso el penetrometro. Está en O y no en B	2017	R	standing070
2	2	16,12	C	2-1	850	688	1.27	0.7	173	NA	2	no tag	no hay cascara en el area donde se uso el penetrometro. En este censo se cayo casi todo el arbol. Perdió una parte del tronco de manarea vertical	2017	R	standing071
2	6	17,01	I	0-1	849	802	0.50	0.27	101	NA	2	NA	Sin corteza	2017	R	standing072
2	6	17,01	J	5-1	370	332	0.30	0.15	NA	2	2	180355	se quebro. Sin corteza	2017	R	standing073
2	6	17,01	N	3-1	204	NA	NA	1.3	NA	NA	NA	175295	caido	2017	R	standing074
2	6	17,01	N	7-1	NA	218	12.1	1.3	35	NA	1	NA	corteza	2017	R	standing075
2	6	17,08	N	7-1	NA	246	4.6	1.3	20	NA	2	176354	corteza	2017	R	standing076
2	3	18,10	J	9-1	NA	NA	NA	2.2999999999999998	NA	NA	NA	5523	Caido. No está en el suelo porque está sostenido por la rama de otro arbol	2017	R	standing077
2	3	18,10	L	5-1	288	292	5.1	1.3	42	NA	2	no tag	Con corteza	2017	R	standing078
2	3	18,10	N	2-1	583	512	5.2	1.8	NA	9	2	5329	ahora está sin corteza	2017	R	standing079
2	1	18,23	C	3-1	456	446	2.3	1.3	NA	2	2	no tag	Ahora está sin corteza	2017	R	standing080
2	1	18,23	O	2-1	574	578	7.5	1.3	30	NA	2	5421	sin ramas. Sin corteza	2017	R	standing081
2	6	19,02	M	NA	223	247	1.8	0.54	81	NA	2	no tag	es viejo no tiene centro. Se quebro. Sin corteza	2017	R	standing082
2	3	19,06	A	7-1	NA	581	20.8	1.3	51	NA	2	5235	NA	2017	R	standing083
2	3	19,06	O	4	838	NA	NA	1.3	NA	NA	NA	no tag	Caido	2017	R	standing084
2	3	19,08	K	6-1	312	308	2.37	13	20	NA	NA	5217	con. Corteza Tronco solo	2017	R	standing085
2	2	19,12	J	2-1	376	NA	NA	0.57999999999999996	NA	NA	NA	no tag	Se descompuso	2017	R	standing086
2	2	19,12	J	7-1	NA	226	2.5	1.3	154	NA	2	171827	NA	2017	R	standing087
3	2	19,12	L	7-1	NA	612	8.6999999999999993	3.0	12	NA	2	5198	escalera. Tiene banda de metal está en el 3,4. Sin corteza	2017	R	standing088
2	1	19,16	I	7-1	NA	360	10.7	1.3	61	NA	2	172319	corteza	2017	R	standing089
2	1	19,16	K	3-1	288	NA	NA	1.3	NA	NA	2	167114	Caido	2017	R	standing090
2	1	19,19	F	3-1	646	616	4.4	1.3	NA	4	2	172649	NA	2017	R	standing091
2	1	19,19	N	6-1	480	505	4.7	1.3	21	NA	2	5154	con corteza	2017	R	standing092
2	7	21,04	A	2-1	283	NA	NA	1.3	NA	NA	NA	155483	solo se encontró el clavo y algunos restos	2017	R	standing093
2	7	21,04	H	6-1	209	243	1.4	0,55	44	NA	2	notag	sin corteza	2017	R	standing094
2	7	21,08	B	4	278	NA	NA	1.3	NA	NA	NA	caido	corteza	2017	R	standing095
2	7	21,08	F	5-1	261	259	7/06/2017p	1.3	67	NA	2	5002	sin ramas. Sin corteza	2017	R	standing096
2	7	21,08	P	2-1	480	379	0.60	0.30	154	NA	2	4909	solo queda un pedazo de pie. Sin cascara	2017	R	standing097
2	7	21,10	O	4-1	7.1	237	5.5	1.3	30	NA	2	156491	NA	2017	R	standing098
3	2	21,15	I	NA	1273	1290	36.1	3.7	136	NA	1	5047	escalera. Sin corteza	2017	R	standing099
2	13	21,17	K	5-1	707	NA	NA	1.3	NA	NA	NA	4859	Caido	2017	R	standing100
2	13	22,19	J	7-1	NA	241	13.6	1.3	38	NA	2	4847	sin corteza	2017	R	standing101
2	7	23,03	D	2-1	639	643	8.0	1.5	22	NA	2	4649	sin ramas. Sin corteza	2017	R	standing102
2	7	23,03	K	9-1	322	317	4.7	1.3	27	NA	2	no tag	sin ramas. Con cascara en el area donde se uso el penetrometro	2017	R	standing103
3	2	23,06	J	7-1	NA	776	32.8	3.0	38	NA	1	4673	Con corteza. Escalera	2017	R	standing104
2	7	23,06	K	5-1	500	530	29.8	1.3	12	NA	1	4585	sin corteza	2017	R	standing105
2	7	23,06	N	6-1	419	413	27.6	1.3	106	NA	1	4586	con ramas. Con corteza	2017	R	standing106
2	7	23,06	O	7-1	NA	573	12.8	1.3	36	NA	2	4593	sin corteza	2017	R	standing107
2	13	23,17	H	6-1	269	267	1.9	1.3	NA	4	2	no tag. Sin corteza. Es el mismo que I6-1 fallen	NA	2017	R	standing108
2	13	23,17	O	3-1	386	424	5.5	1.3	47	NA	2	4519	sin corteza	2017	R	standing109
2	13	23,23	P	2-1	693	723	2.1	1.3	48	NA	2	no tag	sin ramas. Sin corteza. Al lado del arbol 4473	2017	R	standing110
2	13	23,23	P	0-1	392	236	0.75	0.52	143	NA	2	no tag	Sin corteza	2017	R	standing111
2	7	24,09	E	6-1	225	238	2.5	1.3	41	NA	2	146393	con corteza	2017	R	standing112
2	7	24,09	F	9-1	327	NA	NA	1.3	NA	NA	NA	no tag	caido	2017	R	standing113
2	7	24,09	I	6-1	550	553	12.8	1.3	25	NA	2	146601	con corteza	2017	R	standing114
2	7	24,09	O	3-1	491	472	1.9	1.3	109	NA	2	no tag	sin corteza	2017	R	standing115
2	10	24,15	H	3-1	251	NA	NA	1.3	NA	NA	NA	4530	Caido	2017	R	standing116
2	10	24,15	P	2-1	362	332	2.3	1.3	15	NA	2	4387	sin corteza	2017	R	standing117
2	13	25,24	J	5-1	274	299	7.4	1.3	35	NA	2	144701	sin ramas. Sin corteza	2017	R	standing118
2	9	26,08	K	5-1	307	337	10.5	1.3	51	NA	NA	4009	sin ramas. Corteza. sin ramas con corteza	2017	R	standing119
2	9	26,08	K	9-2	NA	NA	NA	1.3	NA	NA	NA	4008	Caido	2017	R	standing120
2	10	26,17	G	6-1	601	585	19.8	1.5	20	NA	2	4165	Tiene bandas de metal y plasticas	2017	R	standing121
2	10	26,17	J	6-1	438	463	22.6	1.3	12	NA	2	4167	tiene dendrometrometros de metal y plastico. Corteza	2017	R	standing122
2	14	26,21	B	5-1	284	301	NA	1.3	33	NA	2	133241	Se está rajando el tronco por El Centro por lo que el dbh es mayor. Con corteza	2017	R	standing123
2	14	26,21	B	7-1	NA	285	13.0	1.3	17	NA	2	4077	Con corteza	2017	R	standing124
2	14	26,21	O	5-1	203	NA	NA	1.3	NA	NA	NA	4082	sin ramas. Sin corteza	2017	R	standing125
2	14	26,21	P	3-1	613	497	0.90	0.45	NA	7	2	NA	sin ramas. Corteza	2017	R	standing126
2	14	26,21	P	3-2	209	197	NA	1.3	NA	NA	NA	4086	sin corteza	2017	R	standing127
2	10	28,16	E	7-1	NA	263	8.8	1.3	27	NA	2	3864	Revisar censos anteriores porque aparece la muestra con un clavo anterior	2017	R	standing128
2	10	28,16	G	5-1	299	NA	NA	1.3	NA	NA	NA	3859	Caido	2017	R	standing129
2	10	28,16	J	6-1	272	NA	NA	0.75	NA	NA	NA	No tag	Caido	2017	R	standing130
2	10	28,16	K	6-1	431	NA	NA	1.3	NA	NA	NA	3759	caido	2017	R	standing131
2	9	29,06	A	2-1	NA	NA	NA	3	NA	NA	NA	NA	se cayo	2017	R	standing132
2	9	29,06	K	3-1	1043	NA	NA	3.6	NA	NA	NA	3601	se cayo	2017	R	standing133
2	9	29,06	M	5-1	453	462	5.4	1.3	81	NA	NA	3606	sin ramas, corteza. Se corrigió el número de tag que es 3606	2017	R	standing134
2	9	29,06	O	5-1	353	NA	NA	1.3	NA	NA	NA	3616	Se cayo	2017	R	standing135
2	14	30,23	C	6-1	263	298	3.9	1.3	37	NA	2	3497	con corteza. Se rajo y se está abriendo	2017	R	standing136
2	15	31,16	B	3-1	225	213	2.0	1.3	NA	2	1	3189	sin ramas.sin corteza	2017	R	standing137
2	14	31,21	L	2-1	246	251	4.0	1.3	31	NA	2	104126	sin ramas. sin corteza	2017	R	standing138
